Model,Dataset,Parameters,Test Accuracy,Precision,Recall,F1 Score
MiniCNN,Raw,102602,0.6107433808553971,0.6302437836506609,0.6107433808553971,0.6020939600714759
MiniCNN,Augmented,102602,0.5358961303462322,0.5359572723110497,0.5358961303462322,0.5253300246374634
LeNet,Raw,136906,0.6840631364562119,0.6822207624230869,0.6840631364562119,0.6800924377804015
LeNet,Augmented,136906,0.5371690427698574,0.5407981373196534,0.5371690427698574,0.5247528462580376
AlexNet,Raw,2504266,0.7393075356415478,0.7389693048260704,0.7393075356415478,0.7377099357455276
AlexNet,Augmented,2504266,0.4386456211812627,0.5164760108612125,0.4386456211812627,0.39726866707245284
