train_loss,val_loss,train_acc,val_acc,learning_rate,best_epoch,best_val_loss
1.9733949541557698,1.8048367960624287,0.3058663028649386,0.37773815588385123,0.001,20,1.0964210397481797
1.777185139773162,1.6840853573895813,0.36742155525238746,0.40168110035659704,0.001,20,1.0964210397481797
1.6718292122290535,1.544774569240809,0.41266030013642563,0.4630667345899134,0.001,20,1.0964210397481797
1.5973696168220384,1.5446759651828286,0.44256480218281036,0.4503311258278146,0.001,20,1.0964210397481797
1.5305145632326196,1.396368868485799,0.4591541609822647,0.5129903209373408,0.001,20,1.0964210397481797
1.4765834354736307,1.3652560690259423,0.48381991814461117,0.5150280183392766,0.001,20,1.0964210397481797
1.4345246746757996,1.3184360368969608,0.49511596180081857,0.543301069791136,0.001,20,1.0964210397481797
1.4011974100786861,1.2887940232509627,0.5046111869031378,0.5590932246561385,0.001,20,1.0964210397481797
1.3712619395926087,1.3368665176390144,0.5182537517053206,0.5392256749872644,0.001,20,1.0964210397481797
1.3371058738378028,1.2895328617193111,0.5297680763983629,0.5410086602139582,0.001,20,1.0964210397481797
1.314882866675987,1.2417088235086529,0.5411732605729878,0.5664798777381559,0.001,20,1.0964210397481797
1.2954526601546783,1.229247713416921,0.545975443383356,0.5723382577687214,0.001,20,1.0964210397481797
1.2743682194796948,1.1975285432439524,0.5588540245566166,0.5858380030565461,0.001,20,1.0964210397481797
1.25682191851357,1.1545827505361408,0.5621282401091405,0.5916963830871116,0.001,20,1.0964210397481797
1.2376594166410897,1.1310063207021976,0.5712960436562073,0.6110545084055018,0.001,20,1.0964210397481797
1.221956267571547,1.1370646484154436,0.5744065484311051,0.6069791136016301,0.001,20,1.0964210397481797
1.2023293569143276,1.1060850476040502,0.5873942701227831,0.6202241467142129,0.001,20,1.0964210397481797
1.183798197841254,1.166619699218719,0.5867939972714871,0.5927152317880795,0.001,20,1.0964210397481797
1.166413419659759,1.3117685885801038,0.5955252387448841,0.5562913907284768,0.001,20,1.0964210397481797
1.152154997302598,1.0964210397481797,0.5991268758526603,0.6263372389200204,0.001,20,1.0964210397481797
