train_loss,val_loss,train_acc,val_acc,learning_rate,best_epoch,best_val_loss
2.1945135320712894,2.1501060922839357,0.22613915416098226,0.23662761079979622,0.001,16,0.8876712638628586
1.9524154075138567,1.8381082862236036,0.313506139154161,0.35201222618441164,0.001,16,0.8876712638628586
1.7727538585597789,1.6163210961749466,0.3717326057298772,0.4304635761589404,0.001,16,0.8876712638628586
1.5897497212512757,1.4415704154020903,0.44431105047748976,0.4819154355578197,0.001,16,0.8876712638628586
1.4175012298560565,1.2678265178683334,0.5133969986357435,0.5631686194600102,0.001,16,0.8876712638628586
1.2914853051121855,1.1529755061582467,0.5568894952251023,0.5967906265919511,0.001,16,0.8876712638628586
1.189481310837916,1.1124080546765807,0.6002728512960437,0.6204788588894549,0.001,16,0.8876712638628586
1.1050479955204837,1.1370542339688348,0.6253206002728513,0.6095262353540499,0.001,16,0.8876712638628586
1.045890913149507,1.0552400627490883,0.6500409276944066,0.6342333163525217,0.001,16,0.8876712638628586
0.9518143408327766,1.0773328914061773,0.6756889495225102,0.63015792154865,0.001,16,0.8876712638628586
0.8998491492342982,0.9735124314918363,0.6959345156889495,0.6668364747834946,0.001,16,0.8876712638628586
0.8302766674569977,0.9932198612834505,0.7191268758526603,0.6663270504330107,0.001,16,0.8876712638628586
0.7678636591105962,0.9833166659698156,0.7388267394270123,0.674477840040754,0.001,16,0.8876712638628586
0.7113785796471215,1.0448825254892125,0.7602728512960436,0.6696383087111564,0.0001,16,0.8876712638628586
0.4851771333630706,0.8985769496666067,0.8385266030013643,0.7289862455425369,0.0001,16,0.8876712638628586
0.41778273795181214,0.8876712638628586,0.8584447476125512,0.7312786551197147,0.0001,16,0.8876712638628586
0.38534388540548975,0.9151643928191642,0.8696316507503411,0.7282221090168111,0.0001,16,0.8876712638628586
0.36120542953804763,0.9387635385510391,0.876944065484311,0.7317880794701986,0.0001,16,0.8876712638628586
0.3296201039173756,0.9471243874369625,0.8867667121418826,0.7338257768721345,1e-05,16,0.8876712638628586
0.2995748285463367,0.9437780623768764,0.8978444747612551,0.7317880794701986,1e-05,16,0.8876712638628586
